"filename", "language", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\zabol\Documents\GitHub\quizzley\src\app\(pages)\(company)\about-us\page.tsx", "TypeScript JSX", 0, -8, 0, 0, -8
"c:\Users\zabol\Documents\GitHub\quizzley\src\app\(pages)\(company)\contact\page.tsx", "TypeScript JSX", 0, -9, 0, 0, -9
"c:\Users\zabol\Documents\GitHub\quizzley\src\app\(pages)\(product)\features\page.tsx", "TypeScript JSX", 0, -8, 0, 0, -8
"c:\Users\zabol\Documents\GitHub\quizzley\src\app\(pages)\(product)\roadmap\page.tsx", "TypeScript JSX", 0, -8, 0, 0, -8
"c:\Users\zabol\Documents\GitHub\quizzley\src\app\(pages)\layout.tsx", "TypeScript JSX", 0, 18, 0, 4, 22
"c:\Users\zabol\Documents\GitHub\quizzley\src\app\(pages)\page.tsx", "TypeScript JSX", 0, 489, 169, 37, 695
"c:\Users\zabol\Documents\GitHub\quizzley\src\app\(user)\billing\page.tsx", "TypeScript JSX", 0, -1, 0, 0, -1
"c:\Users\zabol\Documents\GitHub\quizzley\src\app\(user)\dashboard\page.tsx", "TypeScript JSX", 0, -1, 0, -1, -2
"c:\Users\zabol\Documents\GitHub\quizzley\src\app\(user)\dashboard\quizzesTable.tsx", "TypeScript JSX", 0, 30, 3, 3, 36
"c:\Users\zabol\Documents\GitHub\quizzley\src\app\(user)\feedback\page.tsx", "TypeScript JSX", 0, -1, 0, 0, -1
"c:\Users\zabol\Documents\GitHub\quizzley\src\app\(user)\flashcards\page.tsx", "TypeScript JSX", 0, 10, 0, 2, 12
"c:\Users\zabol\Documents\GitHub\quizzley\src\app\(user)\layout.tsx", "TypeScript JSX", 0, 1, 0, 0, 1
"c:\Users\zabol\Documents\GitHub\quizzley\src\app\(user)\podcasts\page.tsx", "TypeScript JSX", 0, 11, 0, 3, 14
"c:\Users\zabol\Documents\GitHub\quizzley\src\app\(user)\quizz\UploadDoc.tsx", "TypeScript JSX", 0, 3, 0, 0, 3
"c:\Users\zabol\Documents\GitHub\quizzley\src\app\(user)\quizz\new\page.tsx", "TypeScript JSX", 0, -4, 0, 0, -4
"c:\Users\zabol\Documents\GitHub\quizzley\src\app\api\quizz\[quizzId]\delete\route.ts", "TypeScript", 13, 0, 1, 3, 17
"c:\Users\zabol\Documents\GitHub\quizzley\src\app\api\quizz\generate\route.ts", "TypeScript", 11, 0, -8, -1, 2
"c:\Users\zabol\Documents\GitHub\quizzley\src\app\layout.tsx", "TypeScript JSX", 0, -3, 0, -1, -4
"c:\Users\zabol\Documents\GitHub\quizzley\src\app\page.tsx", "TypeScript JSX", 0, -489, -169, -37, -695
"c:\Users\zabol\Documents\GitHub\quizzley\src\components\layout\Sidebar.tsx", "TypeScript JSX", 0, 23, 0, 0, 23
"c:\Users\zabol\Documents\GitHub\quizzley\src\components\ui\confirm-delete-dialog.tsx", "TypeScript JSX", 0, 55, 0, 3, 58
"c:\Users\zabol\Documents\GitHub\quizzley\src\components\ui\soon.tsx", "TypeScript JSX", 0, 38, 0, 4, 42
"c:\Users\zabol\Documents\GitHub\quizzley\src\constants\quiz-settings.ts", "TypeScript", 41, 0, 0, 3, 44
"c:\Users\zabol\Documents\GitHub\quizzley\src\lib\sort-quizzes.ts", "TypeScript", 52, 0, 3, 9, 64
"c:\Users\zabol\Documents\GitHub\quizzley\src\lib\stores\quiz-generation-store.ts", "TypeScript", -26, 0, 0, -3, -29
"Total", "-", 91, 146, -1, 28, 264
