"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\zabol\Documents\GitHub\quizzley\src\app\(pages)\(company)\about-us\page.tsx", "TypeScript JSX", 0, 266, 0, 63, 16, 345
"c:\Users\zabol\Documents\GitHub\quizzley\src\app\(pages)\(company)\contact\page.tsx", "TypeScript JSX", 0, 272, 0, 13, 21, 306
"c:\Users\zabol\Documents\GitHub\quizzley\src\app\(pages)\(legal)\privacy\page.tsx", "TypeScript JSX", 0, 10, 0, 0, 3, 13
"c:\Users\zabol\Documents\GitHub\quizzley\src\app\(pages)\(legal)\terms\page.tsx", "TypeScript JSX", 0, 10, 0, 0, 3, 13
"c:\Users\zabol\Documents\GitHub\quizzley\src\app\(pages)\(product)\features\page.tsx", "TypeScript JSX", 0, 422, 0, 45, 20, 487
"c:\Users\zabol\Documents\GitHub\quizzley\src\app\(pages)\(product)\roadmap\page.tsx", "TypeScript JSX", 0, 295, 0, 60, 14, 369
"c:\Users\zabol\Documents\GitHub\quizzley\src\app\(pages)\layout.tsx", "TypeScript JSX", 0, 18, 0, 0, 4, 22
"c:\Users\zabol\Documents\GitHub\quizzley\src\app\(pages)\page.tsx", "TypeScript JSX", 0, 489, 0, 169, 37, 695
"c:\Users\zabol\Documents\GitHub\quizzley\src\app\(user)\billing\ManageSubscription.tsx", "TypeScript JSX", 0, 62, 0, 0, 13, 75
"c:\Users\zabol\Documents\GitHub\quizzley\src\app\(user)\billing\SubscribeBtn.tsx", "TypeScript JSX", 0, 51, 0, 0, 10, 61
"c:\Users\zabol\Documents\GitHub\quizzley\src\app\(user)\billing\page.tsx", "TypeScript JSX", 0, 126, 0, 6, 12, 144
"c:\Users\zabol\Documents\GitHub\quizzley\src\app\(user)\billing\payment\success\page.tsx", "TypeScript JSX", 0, 20, 0, 0, 3, 23
"c:\Users\zabol\Documents\GitHub\quizzley\src\app\(user)\dashboard\heatMap.tsx", "TypeScript JSX", 0, 50, 0, 0, 7, 57
"c:\Users\zabol\Documents\GitHub\quizzley\src\app\(user)\dashboard\metricCard.tsx", "TypeScript JSX", 0, 15, 0, 0, 5, 20
"c:\Users\zabol\Documents\GitHub\quizzley\src\app\(user)\dashboard\page.tsx", "TypeScript JSX", 0, 117, 0, 4, 16, 137
"c:\Users\zabol\Documents\GitHub\quizzley\src\app\(user)\dashboard\quizzesTable.tsx", "TypeScript JSX", 0, 290, 0, 5, 23, 318
"c:\Users\zabol\Documents\GitHub\quizzley\src\app\(user)\feedback\feedbackForm.tsx", "TypeScript JSX", 0, 224, 0, 3, 17, 244
